Date,Hide1,Hide2,Hide3,Hide4,Hide5,Hide6,Hide7,Hide8,Hide9,Hide10,Hide11,Hide12,Hide13,Hide14,Hide15,Hide16,Hide17,Hide18,Hide19,Hide20,Hide21,Hide22,Hide23,Hide24,Hide25,Hide26,Hide27,Hide28,Hide29,Hide30,Hide31,Hide32,Hide33,Hide34,Hide35,Hide36,Hide37,Hide38,Hide39,Hide40,Hide41,Hide42,Hide43,Hide44,Hide45,Hide46,Hide47,Hide48,Hide49,Hide50,Hide51,Hide52,Hide53,Hide54,Hide55,Hide56,Hide57,Hide58,Hide59,Hide60,Hide61,Hide62,Hide63,Hide64,Hide65,Hide66,Hide67,Hide68,Hide69,Hide70,Hide71,Hide72,Hide73,Hide74,Hide75,Hide76,Hide77,Hide78,Hide79,Hide80,Hide81,Hide82,Hide83,Hide84,Hide85,Hide86,Hide87,Hide88,Hide89,Hide90,Hide91,Hide92,Hide93,Hide94,Hide95,Hide96,Hide97,Hide98,Hide99,Hide100,Hide101,Hide102,Hide103,Hide104,Hide105,Hide106,Hide107,Hide108,Hide109,Hide110,Hide111,Hide112,Hide113,Hide114,Hide115,Hide116,Hide117,Hide118,Hide119,Hide120,Hide121,Hide122,Hide123,Hide124,Hide125,Hide126,Hide127,Hide128,Hide129,Hide130,Hide131,Hide132,Hide133,Hide134,Hide135,Hide136,Hide137,Hide138,Hide139,Hide140,Hide141,Hide142,Hide143,Hide144,Hide145,Hide146,Hide147,Hide148,Hide149,Hide150,Hide151,Hide152,Hide153,Hide154,Hide155,Hide156,Hide157,Hide158,Hide159,Hide160,Hide161,Hide162,Hide163,Hide164,Hide165,Hide166,Hide167,Hide168,Hide169,Hide170,Hide171,Hide172,Hide173,Hide174,Hide175,Hide176,Hide177,Hide178,Hide179,Hide180,Hide181,Hide182,Hide183,Hide184,Hide185,MOVEMENT
2017.10.06,1.17104,1.17583,132849,1.17105,1.17785,1.16987,0.8778,0.8706,74541,0.8776,0.8828,0.8648,1.19595,1.19607,10692,1.19597,1.19647,1.19516,1.18705,1.18706,3948,1.18707,1.18734,1.1862,0,0,0.17683686,0.12423447,0.09056122,0.2300216,0.26456937,0.21895006,0.16607316,0.12421308,0.44842198,0.49065514,0.49065514,0.48896401,0.48896401,0.50649683,0.50649683,0.50392317,0.50212659,0.47743087,0.47743087,0.58568972,0.57956171,0.57900768,0.58008782,0.57644096,0.58203502,1.17484645,1.17850298,1.17793,1.15937992,1.174644,1.177968,1.18266286,1.1861325,1.18844533,1.1844826,1.1587866,1.11486435,1.17462704,1.17811028,1.18023464,1.18205051,1.18237158,1.17768061,1.15927134,1.13529176,1.173776,1.17562255,1.1782381,1.18144995,1.18483645,1.18539503,1.1737428,1.14192312,1.18064567,1.1774631,1.1818496,1.18255156,1.18084355,1.17452806,1.15961875,1.13544166,1.12488502,-0.00325929,-0.00051383,-0.00258383,0.00016959,-0.00325332,-0.00138885,-0.00715749,-0.00705134,-0.00227935,-0.00136081,-0.00082932,0.00051568,0.00162993,-0.00330771,0.00278879,-0.00329583,39.84556187,43.69026799,46.49002375,48.55623807,47.84730062,38.9147259,39.60432272,98.42574615,98.0261671,98.12064211,98.0135391,98.06724339,99.37036471,98.2506775,98.07294502,97.64038854,0.00537545,0.00537356,0.00662888,0.00586314,0.00656856,-96.80034674,-116.2245799,30.68949913,-100.57487,-84.01946108,-313.302225,-248.5736179,-240.6740793,-226.227086,-247.09914,1.176505,1.188045,1.181595,-0.0024665,-0.00277563,-0.00152488,12.34567901,4.11522634,30.56982147,15.88858042,30.14409111,1.16726499,1.16412228,1.19684198,1.19719577,178294,-0.01033068,1.18524522,-0.14813516,-0.00197542,-0.01352403,0.00849643,1.1833642,87.931,0.77933,115.283,1.50201,1.47098,1.14592,0.89255,132.109,1.28299,147.97,1.31176,80.257,0.71153,0.97819,1.25625,112.808,0.97899,1.64471,0.89369,0.69575,6.35415,1.36399,1.84203,1.78874,58.74,70.166,16.599,1
2017.10.09,1.17278,1.17104,151845,1.17312,1.17384,1.1669,0.8835,0.8778,67368,0.8843,0.8879,0.872,1.19278,1.19595,20643,1.19279,1.19608,1.19141,1.18755,1.18705,5162,1.18755,1.18818,1.18659,1,0.36808511,0.20743405,0.3227459,0.2393617,0.1809305,0.29580247,0.32481061,0.27265501,0.21030043,0.43828584,0.45530625,0.49644924,0.49644924,0.49475754,0.49475754,0.51190175,0.51190175,0.50925236,0.50745622,0.48275253,0.58163236,0.58108378,0.58216244,0.57855168,0.58413797,0.58413797,1.17427096,1.17752425,1.17774138,1.15965201,1.173418,1.176269,1.18105929,1.184699,1.187731,1.1844462,1.1593198,1.11547165,1.17401136,1.17714114,1.17924069,1.18116761,1.18175277,1.17748842,1.15953884,1.13566478,1.17315467,1.17467927,1.17692038,1.18017829,1.18382578,1.1849361,1.1740199,1.1424994,1.17966246,1.17652648,1.18094264,1.18185359,1.18044038,1.17446979,1.15988198,1.13581504,1.1251245,-0.00354172,-0.00051259,-0.00267904,-0.00056256,-0.0035082,-0.00140468,-0.00723942,-0.00717267,-0.00260199,-0.00171033,-0.00152545,-0.00015485,0.0010204,-0.00283705,0.00306343,-0.00356934,41.65206622,44.92385609,47.41202491,49.286725,48.73471056,40.89539913,41.71641714,98.99885197,99.03006053,98.34285619,98.62488062,98.48324841,99.48002816,98.12170043,98.57199291,98.64783047,0.00393853,0.00384076,0.00604933,0.00415676,0.00414658,-75.04659369,-100.4107941,34.13258695,-75.72267798,-92.70810636,-203.4723,-198.8668912,-154.4125609,-116.1445533,-306.3764885,1.17505,1.188045,1.176505,-0.00204389,-0.00256944,-0.00090377,13.43341032,4.47780344,33.37317715,17.21683039,29.66194919,1.16635518,1.16298637,1.19673408,1.19746168,330139,-0.01228916,1.1833642,-0.15085635,-0.00167881,-0.01408194,0.00834714,1.18105921,87.478,0.77689,115.047,1.50931,1.46988,1.14727,0.89562,132.039,1.28089,147.431,1.30961,79.457,0.70606,0.97798,1.25342,112.576,0.97302,1.66002,0.88381,0.6896,6.34255,1.36401,1.85286,1.78267,58.505,69.451,16.557,1
2017.10.10,1.17393,1.17278,87319,1.17393,1.17557,1.17191,0.8938,0.8835,69386,0.893,0.8965,0.8738,1.19179,1.19278,24273,1.19179,1.19433,1.18929,1.18752,1.18755,5282,1.18753,1.18756,1.18588,1,1,0.74462597,0.56712508,0.60395446,0.50174216,0.41413311,0.47534952,0.4916221,0.42972889,0.4310046,0.46582708,0.48124227,0.51839507,0.51839507,0.51670532,0.51670532,0.53241555,0.53241555,0.52949932,0.52770856,0.58919886,0.59027136,0.58679997,0.59235396,0.59235396,0.5995291,1.17415731,1.17687075,1.17759191,1.15993474,1.173582,1.175198,1.17924357,1.183637,1.18693467,1.1842424,1.159824,1.11611465,1.17398424,1.17655729,1.1785326,1.18047831,1.18124807,1.17734888,1.15982381,1.13604553,1.17332533,1.174254,1.17596981,1.17915267,1.1829354,1.1845237,1.17430921,1.14308107,1.17894591,1.17600719,1.18024138,1.18128762,1.18011486,1.1744518,1.16016294,1.13619619,1.12536852,-0.00365801,-0.00049152,-0.00266672,-0.00106197,-0.00360346,-0.00136601,-0.00693194,-0.00679679,-0.00276438,-0.00192474,-0.00210027,-0.00076341,0.00043303,-0.00245046,0.00316988,-0.00365122,42.86704813,45.75066682,48.02853337,49.77434019,49.08626405,42.22868067,42.56286383,99.5522426,99.54970998,99.1113809,99.67679105,99.39284111,100.0698997,97.88051861,99.09592788,98.31415507,0.00299863,0.00267284,0.00570787,0.00283465,0.00335242,-61.29336017,-86.5719315,36.17290371,-52.3188744,-58.72393961,-146.4776225,-79.08606571,-41.78611055,-30.34820356,-102.5662408,1.17505,1.188045,1.17505,-0.00155095,-0.00214719,-0.00022207,13.81930763,4.60643588,36.79740195,15.5094992,25.98566573,1.16538186,1.16239471,1.19619531,1.19692291,417458,-0.00652785,1.18105921,-0.15476013,-0.00037373,-0.01314168,0.00773857,1.1669,87.342,0.7751,114.977,1.51396,1.47289,1.14966,0.89396,132.282,1.28698,148.038,1.31397,79.565,0.70616,0.97958,1.25467,112.676,0.97256,1.66096,0.88564,0.6918,6.33411,1.36199,1.85939,1.79028,57.922,68.757,16.624,1
2017.10.11,1.18069,1.17393,130932,1.18071,1.1825,1.17379,0.9177,0.8938,76728,0.9182,0.9206,0.8919,1.1912,1.19179,35929,1.1912,1.19463,1.19053,1.18649,1.18752,5772,1.18649,1.18796,1.18616,1,1,1,0.814375,0.66344196,0.68613485,0.59076043,0.50330895,0.54801902,0.56014806,0.47168799,0.44914636,0.48184751,0.49636449,0.53127678,0.53127678,0.52959121,0.52959121,0.54448777,0.54448777,0.54142973,0.59522492,0.5918373,0.59737005,0.59737005,0.60455237,0.59914458,1.17634154,1.1775688,1.17771419,1.16034613,1.174854,1.175346,1.17865214,1.1828425,1.18638667,1.1842558,1.1604501,1.1168158,1.17621949,1.17730869,1.17882025,1.18049847,1.18121207,1.1774799,1.160237,1.13648975,1.17569467,1.17525255,1.17616267,1.178872,1.18253252,1.18438439,1.1747224,1.14372361,1.17916392,1.17694375,1.18028624,1.18124493,1.18014361,1.17465974,1.16057348,1.13664113,1.12564513,-0.00316658,-0.00039094,-0.00225124,-0.00071077,-0.00311368,-0.00111554,-0.00472664,-0.00455648,-0.00243487,-0.00172795,-0.00247076,-0.00123791,-0.00007417,-0.00232702,0.00275584,-0.0031345,49.49110807,50.36156864,51.50940291,52.54877854,51.94668709,49.4476539,49.21171041,100.5373048,100.5390078,100.255195,100.1809383,100.2181902,100.5415854,99.30359891,100.1255078,98.83478567,0.00351866,0.00292041,0.00573888,0.0029219,0.00378886,26.8969697,-29.98322998,52.55230051,86.25460084,42.85897162,-151.88112,30.20068879,124.1711476,147.487624,-134.4570923,1.176885,1.188045,1.17505,-0.00066374,-0.00126575,0.0017357,25.44428773,8.48142924,64.42857143,16.31428338,24.23579207,1.1655521,1.16211406,1.19442948,1.19516171,548390,-0.00497244,1.1669,-0.12066116,0.00104716,-0.01182244,0.00763714,1.167212,87.438,0.77751,115.264,1.51777,1.47731,1.15111,0.89419,132.754,1.28699,148.412,1.32012,79.452,0.70667,0.97498,1.25144,112.433,0.97277,1.6694,0.88393,0.68859,6.3006,1.35585,1.86712,1.78935,57.616,68.436,16.567,1
2017.10.12,1.18571,1.18069,142223,1.18571,1.18687,1.17948,0.9146,0.9177,75480,0.9148,0.9244,0.9074,1.19178,1.1912,11920,1.19121,1.19229,1.19052,1.18739,1.18649,4912,1.18739,1.18744,1.1861,1,1,1,1,0.82590856,0.68067633,0.70117541,0.60775862,0.52099429,0.56271082,0.49773468,0.47594436,0.45337388,0.4855897,0.49990064,0.53429822,0.53429822,0.53261397,0.53261397,0.54732269,0.54732269,0.59304072,0.59856822,0.59856822,0.6057519,0.60037708,0.59985478,1.17946436,1.17904902,1.17802775,1.16084838,1.17683,1.176479,1.17805643,1.182705,1.186302,1.1842604,1.1610894,1.11750005,1.179383,1.1788362,1.17973889,1.18099481,1.18150226,1.17780265,1.16074142,1.13697951,1.17931333,1.17713691,1.17710371,1.1791451,1.18248886,1.18444142,1.17522259,1.14440913,1.17998218,1.178697,1.18082862,1.18156387,1.18042193,1.17502808,1.16107621,1.13713182,1.12594546,-0.00234661,-0.00025445,-0.00163096,0.00013006,-0.00230967,-0.00076441,-0.0018617,-0.00166709,-0.00182347,-0.00128569,-0.00266861,-0.00153647,-0.00046086,-0.00237813,0.00205279,-0.00229348,53.75694592,53.45404796,53.89792381,54.48042612,53.92631176,54.04048321,53.48778751,100.6152097,100.6066726,100.5515267,100.6322148,100.5917286,100.8402575,99.30153679,100.9647644,100.0928576,0.00484246,0.00423002,0.00606731,0.00428087,0.00495081,115.2336398,12.18169277,64.58560243,180.661035,166.4748224,13.03710833,155.2575035,260.3715249,282.4232729,-97.58685846,1.177415,1.188045,1.176885,0.00037513,-0.00026984,0.00378179,38.33139985,12.77713328,83.64978903,18.85001377,23.32528711,1.16555228,1.16208187,1.192343,1.19293418,690613,-0.00027495,1.167212,-0.01470891,0.00289475,-0.00952409,0.00752643,1.16799832,87.595,0.77873,115.494,1.52216,1.477,1.15409,0.89655,133.409,1.28689,148.714,1.32213,79.565,0.70628,0.97315,1.24571,112.479,0.9702,1.67459,0.8803,0.68829,6.27408,1.35401,1.86548,1.78903,57.727,68.626,16.577,0
2017.10.13,1.18279,1.18571,130545,1.18284,1.18793,1.18265,0.9094,0.9146,73548,0.9126,0.9204,0.9024,1.19272,1.19178,15336,1.19273,1.19322,1.19161,1.18607,1.18739,5085,1.18607,1.18759,1.18574,0,0.32817337,0.71447368,0.85065382,0.86654367,0.73270931,0.61609095,0.63853438,0.56013001,0.485598,0.46103735,0.4892952,0.46822192,0.44636111,0.47851484,0.49281703,0.5273393,0.5273393,0.52569856,0.52569856,0.54043713,0.59494377,0.59494377,0.60201354,0.5966217,0.59609779,0.59275965,1.18058957,1.17973829,1.17821647,1.16128386,1.17918,1.176912,1.17755786,1.1822535,1.18603067,1.1841806,1.1617075,1.1181115,1.18051866,1.17955508,1.1801457,1.18116578,1.18158534,1.17799823,1.16117803,1.13743533,1.1813,1.17828436,1.17773486,1.17915319,1.18226228,1.18438376,1.17565231,1.14505878,1.18033316,1.1795156,1.18102475,1.18165145,1.18054034,1.17528681,1.16151049,1.1375884,1.12622968,-0.00190639,-0.0001814,-0.00128805,0.00049298,-0.00187512,-0.00057253,-0.0008206,-0.00062808,-0.00150132,-0.00106601,-0.00275882,-0.00173538,-0.00073593,-0.00231765,0.00167394,-0.00184136,51.06890776,51.48993428,52.33592982,53.17781911,52.6355536,51.13054841,50.84173257,100.3291176,100.127822,100.3997634,100.4612562,100.4304319,101.0033816,99.41333199,100.3674287,100.3052814,0.00531807,0.00461476,0.00618148,0.00481449,0.00538006,88.77173847,-11.72634064,56.00973944,106.3810799,148.773112,39.1635,101.7820632,143.9792673,163.55838,-17.77420385,1.177415,1.188045,1.177415,0.00091746,0.00055614,0.00353614,51.80285897,17.26761966,85.795053,21.6029686,20.76221569,1.16561664,1.16207848,1.19105505,1.19165239,560068,0.00245433,1.16799832,0.08735175,0.00453017,-0.00647982,0.00720643,1.16919422,87.779,0.7818,115.068,1.51231,1.47527,1.15376,0.89262,132.798,1.29313,148.866,1.326,79.977,0.71171,0.97526,1.24737,112.267,0.97508,1.65974,0.88871,0.69477,6.29224,1.35213,1.85888,1.79169,57.425,68.358,16.775,0
2017.10.16,1.18103,1.18279,139187,1.18166,1.18746,1.18048,0.9067,0.9094,60406,0.9076,0.9108,0.8822,1.19123,1.19272,15639,1.19122,1.19285,1.18987,1.18499,1.18607,5346,1.18499,1.18644,1.1849,0,0,0.18563923,0.53869048,0.72663139,0.75186766,0.64900967,0.55581854,0.5793799,0.51408684,0.45179798,0.45179798,0.47999387,0.45969755,0.43860755,0.47067759,0.48496337,0.51960494,0.51960494,0.51801191,0.51801191,0.59085493,0.59779723,0.59238695,0.5918613,0.58851232,0.58851232,1.18094638,1.18008769,1.17835151,1.16168735,1.18083,1.177124,1.1773,1.1817105,1.185788,1.184257,1.1623462,1.1187517,1.18068911,1.17982324,1.18026361,1.18115285,1.18154951,1.17811713,1.16157113,1.13786911,1.18191667,1.17903309,1.17819781,1.17903667,1.18193966,1.1842602,1.17603493,1.14568483,1.18042026,1.17981848,1.18102528,1.18160706,1.18056482,1.17547825,1.16190088,1.13802281,1.12650368,-0.00163389,-0.0001374,-0.00107063,0.00065318,-0.00160428,-0.00045349,-0.00047767,-0.00045115,-0.00134086,-0.0009701,-0.00272786,-0.00186627,-0.00094498,-0.00219764,0.0014766,-0.00160656,49.47138181,50.31691212,51.4006649,52.39667756,52.10380304,49.40376226,49.7519518,100.6751285,100.7236803,100.5069955,100.6402551,100.5733848,100.7034567,99.69526607,100.1798271,100.6199016,0.00546201,0.00474843,0.00614554,0.00511784,0.00556169,67.73022049,-27.45602527,50.45248402,62.62973302,96.44467548,84.44011333,87.76428637,112.8173902,136.8672167,25.91019538,1.177415,1.18511,1.177415,0.00112131,0.00110635,0.00236877,60.9278858,20.30929527,78.042792,22.17863654,19.92900456,1.16566891,1.16232905,1.1896931,1.1904762,420881,0.00007514,1.16919422,0.12216169,0.00449415,-0.00462432,0.00674286,1.17031837,88.087,0.78832,114.609,1.49643,1.47277,1.15133,0.88809,132.003,1.29507,148.602,1.32942,80.152,0.71703,0.97399,1.2475,111.737,0.98286,1.6454,0.89347,0.69809,6.29697,1.34888,1.85187,1.79332,57.251,68.212,16.956,0
2017.10.17,1.17943,1.18103,115723,1.17948,1.18191,1.178,0.9237,0.9067,62951,0.9206,0.9253,0.8953,1.18722,1.19123,22525,1.1872,1.19146,1.18654,1.18555,1.18499,6808,1.18555,1.18597,1.18432,0,0,0,0.1044335,0.37396694,0.57622378,0.6078516,0.53881453,0.47297751,0.4969561,0.42965024,0.43614947,0.43614947,0.4641957,0.44518698,0.42537871,0.45726934,0.47151068,0.50631015,0.50631015,0.50479747,0.59039438,0.58495365,0.58442514,0.58105834,0.58105834,0.58105834,1.18045759,1.1799772,1.17839576,1.16203968,1.18193,1.177756,1.17731571,1.1809205,1.18546433,1.1842566,1.1629785,1.1193628,1.18026941,1.17975175,1.18015246,1.18098877,1.18141277,1.17816861,1.16192477,1.13828265,1.18145,1.17945236,1.17848181,1.17881948,1.18152946,1.18407091,1.17637323,1.1462886,1.18029648,1.17974078,1.18086575,1.18145155,1.18050808,1.17560998,1.16225146,1.13843688,1.12676831,-0.00157568,-0.00012642,-0.00100597,0.00053787,-0.00154145,-0.00041952,-0.00085846,-0.00077584,-0.00130204,-0.00096858,-0.00262731,-0.00191405,-0.00110785,-0.00203081,0.00141442,-0.00153192,48.00859548,49.24337903,50.54529974,51.68271554,51.11447252,47.82257587,47.7170136,100.4342902,100.4385479,100.3907212,100.7207777,100.5552052,100.4685118,100.0186566,100.5387389,100.0780614,0.00500517,0.00459007,0.0055443,0.00489351,0.00507002,38.22807697,-41.06384507,45.2586779,33.06689104,32.10813597,8.87209667,33.8521567,47.23602455,41.50598267,45.39902308,1.177415,1.18511,1.177415,0.0010954,0.00104131,0.00083989,62.92526897,20.97508966,61.30103536,21.1363707,21.38972292,1.16611101,1.16274506,1.18850997,1.18929769,305158,-0.00227274,1.17031837,0.10502193,0.0029559,-0.00441779,0.00664143,1.17137507,88.058,0.78474,114.962,1.50222,1.47607,1.15053,0.88994,132.325,1.29205,148.611,1.32492,80.427,0.71672,0.97536,1.25144,112.174,0.98233,1.64419,0.8971,0.69904,6.30887,1.35085,1.84701,1.79035,56.829,68.469,17.103,0
2017.10.18,1.17648,1.17943,121674,1.17648,1.17996,1.17356,0.9135,0.9237,95417,0.9145,0.9338,0.9083,1.18711,1.18722,19439,1.1871,1.18806,1.18566,1.18456,1.18555,7636,1.18457,1.18572,1.18365,0.48214286,0.0971223,0.06716418,0.05288932,0.14196983,0.38171355,0.57155516,0.60205761,0.53648698,0.47330961,0.42586125,0.43011346,0.43654783,0.43654783,0.46434348,0.44547891,0.42580732,0.45744681,0.47158456,0.50615517,0.50615517,0.58462925,0.584102,0.58074331,0.58074331,0.58074331,0.58680037,1.17913173,1.17934135,1.17832063,1.16232563,1.181088,1.177971,1.17746571,1.179777,1.18497467,1.1842872,1.1635583,1.1199685,1.17900627,1.17915688,1.1796628,1.18055936,1.18109452,1.17810239,1.162213,1.13866272,1.17963333,1.17922036,1.17837038,1.17839657,1.18094983,1.18376595,1.17664058,1.14685693,1.17981942,1.17908863,1.18042718,1.18109644,1.18030667,1.17563898,1.16253603,1.13881732,1.12701687,-0.00175144,-0.00014865,-0.00110279,0.00010984,-0.0017049,-0.00047284,-0.00191565,-0.00178535,-0.00144863,-0.00111672,-0.00251283,-0.00192116,-0.00121761,-0.00177805,0.00155301,-0.00169131,45.3591383,47.28540472,48.97987814,50.37353635,49.76593457,44.96508296,44.98988613,100.0552801,100.0552801,100.1043496,100.0042607,100.0544162,99.64342884,100.1788178,100.1830831,99.58944579,0.00462795,0.00447343,0.00510337,0.00464462,0.00466176,-18.57835218,-66.66174849,36.23704468,-13.41189073,-15.88936295,-49.176575,-23.37210462,-30.661848,-43.28890533,-19.46784,1.177415,1.18511,1.177415,0.00082153,0.00081203,-0.00072385,58.51957521,19.50652507,41.23063104,19.09982452,22.91255025,1.16752527,1.16369765,1.18716189,1.18795039,183484,-0.00617092,1.17137507,0.08060057,0.0006809,-0.00541038,0.00658643,1.17236836,88.009,0.7843,114.634,1.49932,1.47315,1.15103,0.89182,132.012,1.29002,147.952,1.31881,80.425,0.71691,0.97811,1.25194,112.186,0.98215,1.64006,0.89745,0.70134,6.32566,1.35475,1.83795,1.78691,57.173,68.556,17.141,1
2017.10.19,1.17865,1.17648,123065,1.17865,1.1805,1.17298,0.9116,0.9135,88077,0.9114,0.9254,0.9076,1.18567,1.18711,28892,1.18565,1.18872,1.18457,1.1848,1.18456,4445,1.18479,1.18495,1.18371,1,0.90894819,0.53561517,0.43566591,0.37451488,0.41464891,0.53709909,0.65240834,0.67275804,0.61131611,0.39885306,0.4488303,0.45275025,0.45853151,0.45853151,0.48425002,0.46527919,0.4454356,0.47500462,0.48825332,0.52056698,0.59017123,0.58691023,0.58691023,0.58691023,0.59294064,0.59453937,1.17897115,1.17921565,1.17833355,1.16264888,1.179676,1.178253,1.17747929,1.179261,1.184542,1.1843438,1.1641021,1.12057065,1.17888751,1.17906472,1.17952776,1.18037752,1.18093681,1.17812387,1.16253848,1.13906061,1.17882067,1.17934382,1.17852829,1.17828924,1.18054178,1.18354488,1.17693943,1.14744082,1.17967324,1.1790009,1.18024946,1.1809217,1.18022384,1.17573934,1.16285831,1.13921564,1.12727504,-0.00169607,-0.00013766,-0.00104271,0.00000218,-0.00164547,-0.00044062,-0.00194304,-0.00178513,-0.00141392,-0.00111522,-0.00232705,-0.00189108,-0.00127809,-0.00162151,0.0014973,-0.00162381,47.6366784,48.85987702,50.16257282,51.31204075,50.74078838,47.45237997,47.33455286,100.6498497,100.6489902,100.2249862,100.2658415,100.2453444,99.40457616,100.0161227,100.2398306,100.4671105,0.00449207,0.00441812,0.00484826,0.00455079,0.0045074,21.9808221,-48.94290275,41.48545883,16.86783572,-5.72984969,56.19968333,17.32376538,12.73163364,7.84881222,-25.37032308,1.17992,1.18511,1.177415,0.00070325,0.00064273,-0.00070002,53.74861309,17.91620436,32.85780028,17.6956304,20.84924184,1.16775484,1.1636351,1.18592404,1.18651599,306549,-0.0065965,1.17236836,0.07385995,-0.00054768,-0.00591768,0.00680143,1.17298,88.559,0.78445,115,1.50196,1.46941,1.15689,0.89305,133.112,1.29582,149.083,1.32034,80.694,0.71483,0.98123,1.24665,112.912,0.97789,1.64746,0.89114,0.70109,6.31326,1.35629,1.84553,1.79029,57.07,68.256,17.222,1
